Data_raw,Final_project,Photos,Date,Stage,SpeciesID,Treatment_temp,Treatment_water,PhotoID,Segmented,Cropped,FileType
data_raw,final_project,Photos,September 2 2021,Final,PIPO10,Ambient+HW,Drought,DSC00439,segmented,crop,JPG
data_raw,final_project,Photos,September 2 2021,Final,PIPO14,Ambient,Drought,DSC00383,segmented,crop,JPG
data_raw,final_project,Photos,September 2 2021,Final,PIPO23,Ambient+HW,Drought,DSC00394,segmented,crop,JPG
data_raw,final_project,Photos,September 2 2021,Final,PIPO29,Ambient+HW,Drought,DSC00438,segmented,crop,JPG
data_raw,final_project,Photos,September 2 2021,Final,PIPO34,Ambient+HW,Drought,DSC00434,segmented,crop,JPG
data_raw,final_project,Photos,September 2 2021,Final,PIPO39,Ambient,Drought,DSC00398,segmented,crop,JPG
data_raw,final_project,Photos,September 2 2021,Final,PIPO42,Ambient+HW,Drought,DSC00391,segmented,crop,JPG
data_raw,final_project,Photos,September 2 2021,Final,PIPO44,Ambient,Drought,DSC00437,segmented,crop,JPG
data_raw,final_project,Photos,September 2 2021,Final,PIPO45,Ambient,Drought,DSC00448,segmented,crop,JPG
data_raw,final_project,Photos,September 2 2021,Final,PIPO49,Ambient,Drought,DSC00392,segmented,crop,JPG
